estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos,vi
Carura,2026-09-07 11:00:00,3,0.0,29,56,54,0.8
Carura,2026-09-07 11:00:00,6,0.0,29,56,341,0.7
Carura,2026-09-07 11:00:00,9,0.0,25,36,264,0.6
Carura,2026-09-07 11:00:00,12,0.0,22,36,271,0.7
Carura,2026-09-07 11:00:00,15,0.0,15,36,268,0.7
Carura,2026-09-07 11:00:00,18,0.0,15,36,285,0.6
Carura,2026-09-07 11:00:00,21,0.0,19,37,301,0.6
Carura,2026-09-07 11:00:00,24,0.0,22,36,2,1.0
Carura,2026-09-07 11:00:00,27,1.8,26,89,61,1.4
Carura,2026-09-07 11:00:00,30,2.2,26,89,351,1.3
Carura,2026-09-07 11:00:00,33,0.0,23,55,275,1.1
Carura,2026-09-07 11:00:00,36,0.0,20,56,283,1.0
Carura,2026-09-07 11:00:00,39,0.0,16,36,283,1.0
Carura,2026-09-07 11:00:00,42,0.0,16,56,273,0.8
Carura,2026-09-07 11:00:00,45,0.0,20,55,263,0.7
Carura,2026-09-07 11:00:00,48,0.0,23,56,199,0.9
Carura,2026-09-07 11:00:00,51,0.0,27,36,97,1.1
Carura,2026-09-07 11:00:00,54,0.0,27,36,150,1.1
Carura,2026-09-07 11:00:00,57,0.0,24,56,201,1.1
Carura,2026-09-07 11:00:00,60,0.0,20,56,229,0.9
Carura,2026-09-07 11:00:00,63,0.0,17,55,251,0.6
Carura,2026-09-07 11:00:00,66,0.0,17,57,282,0.8
Carura,2026-09-07 11:00:00,69,0.0,21,56,297,0.7
Carura,2026-09-07 11:00:00,72,0.0,24,56,30,0.9
Carura,2026-09-07 11:00:00,75,1.2,27,89,112,1.3
Carura,2026-09-07 11:00:00,78,1.4,27,89,170,0.9
Carura,2026-09-07 11:00:00,81,1.5,24,89,223,0.5
Carura,2026-09-07 11:00:00,84,1.5,21,89,255,0.6
Carura,2026-09-07 11:00:00,87,0.0,18,36,283,0.7
Carura,2026-09-07 11:00:00,90,0.0,18,36,272,0.9
Carura,2026-09-07 11:00:00,93,0.0,21,36,272,0.7
Carura,2026-09-07 11:00:00,96,0.0,23,36,345,0.7
Carura,2026-09-07 11:00:00,99,0.0,26,56,54,0.7
Carura,2026-09-07 11:00:00,102,0.0,26,56,21,0.9
Carura,2026-09-07 11:00:00,105,0.0,22,57,244,1.2
Carura,2026-09-07 11:00:00,108,0.0,18,57,258,1.1
Carura,2026-09-07 11:00:00,111,0.0,18,56,272,1.0
Chacala (INIAF),2026-09-07 11:00:00,3,0.0,16,36,270,7.9
Chacala (INIAF),2026-09-07 11:00:00,6,0.0,16,36,276,6.0
Chacala (INIAF),2026-09-07 11:00:00,9,0.0,9,26,273,4.1
Chacala (INIAF),2026-09-07 11:00:00,12,0.0,4,26,310,3.3
Chacala (INIAF),2026-09-07 11:00:00,15,0.0,-2,36,347,2.5
Chacala (INIAF),2026-09-07 11:00:00,18,0.0,-2,36,333,2.8
Chacala (INIAF),2026-09-07 11:00:00,21,0.0,5,36,322,2.7
